Timestamp,Source_IP,Source_Port,Destination_IP,Destination_Port,Protocol,Packet_Length,Flags,IP_Header_Len,TCP_Header_Len,ARP_Opcode,Eth_Dst,ARP_Src_MAC,ARP_Src_IP
1765560172.776212,192.168.11.5,9928,138.91.182.224,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560172.995621,138.91.182.224,443,192.168.11.5,9928,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560173.575492,142.250.76.234,443,192.168.11.5,36103,6,143,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560173.577552,192.168.11.5,36103,142.250.76.234,443,6,89,PA,20,20,0,d4:b7:09:88:82:38,,
1765560173.577653,192.168.11.5,36103,142.250.76.234,443,6,89,PA,20,20,0,d4:b7:09:88:82:38,,
1765560173.597983,162.159.46.1,443,192.168.11.5,65182,6,58,FA,20,20,0,70:1a:b8:8f:40:0d,,
1765560173.597983,162.159.46.1,443,192.168.11.5,65182,6,580,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560173.598075,192.168.11.5,65182,162.159.46.1,443,6,54,A,20,20,0,d4:b7:09:88:82:38,,
1765560173.598367,192.168.11.5,65182,162.159.46.1,443,6,54,A,20,20,0,d4:b7:09:88:82:38,,
1765560173.598512,192.168.11.5,65182,162.159.46.1,443,6,54,FA,20,20,0,d4:b7:09:88:82:38,,
1765560173.601065,142.250.76.234,443,192.168.11.5,36103,6,64,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560173.601254,142.250.76.234,443,192.168.11.5,36103,6,64,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560173.619793,162.159.46.1,443,192.168.11.5,65182,6,58,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560174.179758,20.42.73.27,443,192.168.11.5,38730,6,58,RA,20,20,0,70:1a:b8:8f:40:0d,,
1765560174.745454,142.250.76.234,443,192.168.11.5,36103,6,182,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560174.74856,192.168.11.5,36103,142.250.76.234,443,6,89,PA,20,20,0,d4:b7:09:88:82:38,,
1765560174.772149,142.250.76.234,443,192.168.11.5,36103,6,64,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560175.453056,142.250.76.234,443,192.168.11.5,36103,6,222,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560175.456125,192.168.11.5,36103,142.250.76.234,443,6,89,PA,20,20,0,d4:b7:09:88:82:38,,
1765560175.479554,142.250.76.234,443,192.168.11.5,36103,6,64,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560175.921198,34.227.36.214,443,192.168.11.5,48049,6,58,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560175.921317,192.168.11.5,48049,34.227.36.214,443,6,54,A,20,20,0,d4:b7:09:88:82:38,,
1765560176.336754,192.168.11.5,38807,142.250.76.14,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560176.359315,142.250.76.14,443,192.168.11.5,38807,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560328.295608,192.168.11.5,23299,157.240.211.35,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560328.313826,192.168.11.5,23447,142.250.196.234,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560328.320986,157.240.211.35,443,192.168.11.5,23299,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560328.338489,142.250.196.234,443,192.168.11.5,23447,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560328.710741,192.168.11.5,53794,142.250.71.142,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560328.738278,142.250.71.142,443,192.168.11.5,53794,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560329.97427,192.168.11.5,14745,142.250.197.101,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560330.002096,142.250.197.101,443,192.168.11.5,14745,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560331.607445,192.168.11.5,61814,172.253.115.95,443,6,55,A,20,20,0,d4:b7:09:88:82:38,,
1765560331.821528,172.253.115.95,443,192.168.11.5,61814,6,70,A,20,32,0,70:1a:b8:8f:40:0d,,
1765560332.239127,192.168.11.5,56964,57.144.242.141,443,6,86,PA,20,20,0,d4:b7:09:88:82:38,,
1765560332.341838,57.144.242.141,443,192.168.11.5,56964,6,58,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.528518,192.168.11.5,2236,142.250.76.238,443,6,1452,A,20,20,0,d4:b7:09:88:82:38,,
1765560332.528518,192.168.11.5,2236,142.250.76.238,443,6,1452,A,20,20,0,d4:b7:09:88:82:38,,
1765560332.528518,192.168.11.5,2236,142.250.76.238,443,6,1452,A,20,20,0,d4:b7:09:88:82:38,,
1765560332.528518,192.168.11.5,2236,142.250.76.238,443,6,620,PA,20,20,0,d4:b7:09:88:82:38,,
1765560332.528711,192.168.11.5,2236,142.250.76.238,443,6,93,PA,20,20,0,d4:b7:09:88:82:38,,
1765560332.528771,192.168.11.5,2236,142.250.76.238,443,6,117,PA,20,20,0,d4:b7:09:88:82:38,,
1765560332.551781,142.250.76.238,443,192.168.11.5,2236,6,58,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.551972,142.250.76.238,443,192.168.11.5,2236,6,58,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.551972,142.250.76.238,443,192.168.11.5,2236,6,97,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.553856,57.144.242.141,443,192.168.11.5,56964,6,86,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.592603,192.168.11.5,2236,142.250.76.238,443,6,54,A,20,20,0,d4:b7:09:88:82:38,,
1765560332.593456,192.168.11.5,56964,57.144.242.141,443,6,54,A,20,20,0,d4:b7:09:88:82:38,,
1765560332.75191,142.250.76.238,443,192.168.11.5,2236,6,1029,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.75191,142.250.76.238,443,192.168.11.5,2236,6,296,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.75191,142.250.76.238,443,192.168.11.5,2236,6,97,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560332.75206,192.168.11.5,2236,142.250.76.238,443,6,54,A,20,20,0,d4:b7:09:88:82:38,,
1765560332.752484,192.168.11.5,2236,142.250.76.238,443,6,89,PA,20,20,0,d4:b7:09:88:82:38,,
1765560332.752593,192.168.11.5,2236,142.250.76.238,443,6,93,PA,20,20,0,d4:b7:09:88:82:38,,
1765560332.775488,142.250.76.238,443,192.168.11.5,2236,6,58,A,20,20,0,70:1a:b8:8f:40:0d,,
1765560333.160777,142.250.76.234,443,192.168.11.5,36103,6,222,PA,20,20,0,70:1a:b8:8f:40:0d,,
1765560333.163737,192.168.11.5,36103,142.250.76.234,443,6,89,PA,20,20,0,d4:b7:09:88:82:38,,
